Question,Response,Response Time
How can I find information about different political areas on this website?,"To find information about different political areas, open the Atlas map, navigate to the top right-hand side pane, and click on the map icon. From there, you can select and filter data by clicking on Local Government Areas (LGA). This will allow you to explore the relevant data for specific political areas.",6.103304
Where can I filter data by political themes and categories?,"To filter data by political themes and categories, open the Atlas map, navigate to the top right-hand side pane, and click on the map icon. From there, you can select and filter data by Local Government Areas (LGA). This will allow you to explore the relevant data for specific political areas.",6.87952
"How can I find information about different service layers, like healthcare and childcare, on this website?","To find information about different service layers, like healthcare and childcare, open the Atlas map and navigate to the right-hand side pane. Look for the option to turn on or off service layers, and select from the available services. You can hover over the dots on the map to see the names of the services in the selected area.",5.835147
Where can I turn on or off the service layers for hospitals and schools in my search?,"To turn on or off the service layers for hospitals and schools, open the Atlas map and navigate to the right-hand side pane. You will find options to select different service layers, including healthcare and education services. Simply click on the names in the menu to toggle their visibility on the map.",6.881567
Where can I find the national scale results for different regions on this website?,"To find the national scale results for different regions, open the Atlas map and select your area of interest. The results will be displayed as a black dot on the national scale, along with numerical values on the right side. You can click the ""i"" symbol to view an explanation of the national scale.",6.89001
How do I navigate to the specific themes and areas related to the results?,"To navigate to specific themes and areas related to the results, open the Atlas map and select your area of interest. You can then click on the themes icon in the right-hand side pane to explore the available themes. From there, you can filter and view the relevant data for those themes.",7.515525
Where can I find information about the national distribution on this website?,"To find information about the national distribution, open the Atlas map and select your area of interest. The results for the specific indicator will display on a national distribution chart, with your chosen area visualised beneath the chart by a black dot. You can click anywhere on the chart to view results for the same indicator in other statistical or geographical areas.",7.692585
How do I navigate to the different themes and subcategories related to national distribution?,"To navigate to the different themes and subcategories related to national distribution, open the Atlas map and select your area of interest. Then, click on the themes icon in the right-hand side pane to explore the available themes. You can choose a theme to view its related subcategories and data.",6.47457
what latest data do you have on Atlas?,"The latest data available on Atlas covers collection years from 2006 to 2023. You can filter the data by selecting the calendar symbol in the top right-hand side pane to choose the specific year or range of years you are interested in. For more detailed insights, explore the various themes and subcategories related to your area of interest.",6.300208
You have data upto which year?,The data available on Atlas goes up to the year 2023. You can filter the data by selecting the calendar symbol in the top right-hand side pane to choose specific collection years.,11.300672
What should I look for to understand how the results are calculated on this website?,"To understand how the results are calculated on this website, look for the section titled ""Technical Information."" You can find this by navigating to the Homepage, then selecting Main Menu options, and clicking on Technical Information. This section provides an overview of the data cleaning and processing activities conducted for the Atlas.",12.109306
Where can I find information about interpreting the results on this site?,"To find information about interpreting the results on this site, navigate to the ""Technical Information"" section. You can access this by going to the Homepage, selecting Main Menu options, and clicking on Technical Information. This section will provide insights into how results are calculated and interpreted.",12.398756
What sections of the website can I explore to learn about where the data comes from?,"To learn about where the data comes from, you can explore the ""Data Source"" section. Click on the ""i"" icon in the bottom left corner next to the selected indicator to see the data source, including the name of the data provider and the year of data collection. Additionally, you can visit the ""Technical Information"" section for more detailed insights on data sources.",12.58922
How can I find information about the people or organizations that collected the data on this website?,"To find information about the people or organizations that collected the data, click on the ""i"" icon in the bottom left corner next to the selected indicator. This will provide details about the data source, including the name of the data provider and the year of data collection. You can also visit the ""Technical Information"" section for more comprehensive insights on data sources.",12.316819
Can you help me find information about what metadata means on this website?,"To find information about what metadata means on this website, navigate to the ""Technical Information"" section. Look for the subcategory titled ""Metadata,"" which explains its role in supporting the discovery and organisation of research outputs. For more details, you can also visit the provided link: [Metadata](https://australianchildatlas.com/metadata).",11.987315
Where can I explore different themes and subcategories related to metadata here?,"To explore different themes and subcategories related to metadata, navigate to the ""Technical Information"" section on the website. Look for the subcategory titled ""Metadata,"" which will provide insights into its role and importance. You can also find related information in the main menu options under Technical Information.",12.777776
What sections can I find information about licensing and attribution on this website?,"To find information about licensing and attribution, navigate to the ""Technical Information"" section on the website. Look for the subcategory titled ""Licensing and attribution,"" which outlines the licensing details for the content. This section will provide guidance on how to use the data within the specified limits.",12.247779
How do I navigate to the themes related to licensing and attribution here?,"To navigate to the themes related to licensing and attribution, go to the Homepage and select the Main Menu options. Click on ""Technical Information,"" and then look for the subcategory titled ""Licensing and attribution."" This section will provide the relevant details about the licensing of the content on the website.",13.58208
Can you help me find where the different themes and subcategories are located on this website?,"To find the different themes and subcategories, open the Atlas map and navigate to the right-hand side pane. Click on the themes icon, where you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",11.57527
How do I navigate to the information related to SA2 on this site?,"To navigate to the information related to SA2, open the Atlas map and go to the right-hand side pane. Click on the map icon to filter data by clicking on SA2. You can then explore the relevant data for medium-sized areas representing communities.",12.486641
Can you help me find where to look for information about SA3 on this website?,"To find information about SA3, open the Atlas map and navigate to the right-hand side pane. Click on the map icon to filter data by selecting SA3. This will allow you to explore data related to larger regions made up of neighbouring SA2 areas.",12.522522
I'm new here; how do I navigate to the different themes and subcategories related to SA3?,"To navigate to the different themes and subcategories related to SA3, open the Atlas map and go to the right-hand side pane. Click on the map icon and select SA3 to filter the data. You can then explore the relevant themes and subcategories associated with that statistical area.",12.843516
Can you help me find where to explore different themes on this website?,"To explore different themes on the website, open the Atlas map and navigate to the right-hand side pane. Click on the themes icon, where you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",12.524961
I'm new here; how do I navigate to the subcategories related to SA4?,"To navigate to the subcategories related to SA4, open the Atlas map and go to the right-hand side pane. Click on the map icon and select SA4 to filter the data. You can then explore the relevant themes and subcategories associated with that broader geographical area.",12.757144
What sections can I explore on this website related to LGAs?,"To explore sections related to Local Government Areas (LGAs), open the Atlas map and navigate to the right-hand side pane. Click on the map icon to filter data by LGAs. This will allow you to access information specific to incorporated areas of Australia.",12.85198
How can I find information about different themes and subcategories on this site?,"To find information about different themes and subcategories on the site, open the Atlas map and navigate to the right-hand side pane. Click on the themes icon, where you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",13.232711
Can you help me find where to look for information on data cleaning tools and software on this website?,"To find information on data cleaning tools and software, navigate to the ""Technical Information"" section on the website. Look for the relevant subcategory that discusses data cleaning and processing activities. This section will provide insights into the tools and methods used for data preparation.",13.90731
I'm trying to navigate the site—where can I find details about statistical methods and how they are used?,"To find details about statistical methods and how they are used, navigate to the ""Technical Information"" section on the website. Look for the relevant subcategory that discusses statistical methods, which will provide insights into the techniques employed in data analysis.",11.774448
How can I find information about wellbeing data visualisations on this website?,"To find information about wellbeing data visualisations, navigate to the Homepage and select the ""Technical Information"" section. Look for the subcategory titled ""Visualisation,"" which will provide insights into how wellbeing data is represented visually.",13.323393
Where can I see the colour-coded regions and learn what the colours mean?,"To see the colour-coded regions and learn what the colours mean, open the Atlas map and click on the ""i"" symbol on the National Scale in the right-hand side pane. This will provide an explanation of the colour coding for regions. You can also visit the ""Visualisation"" section under Technical Information for more details.",13.062139
Where can I find information on visualising wellbeing data on this website?,"To find information on visualising wellbeing data, navigate to the Homepage and select the ""Technical Information"" section. Look for the subcategory titled ""Visualisation,"" which will provide insights into how wellbeing data is represented visually.",12.223676
How do I navigate through the themes and categories related to wellbeing data here?,"To navigate through the themes and categories related to wellbeing data, open the Atlas map and go to the right-hand side pane. Click on the themes icon, where you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",14.892938
What sections can I explore to find information about licensing and attribution on this website?,"To find information about licensing and attribution, navigate to the ""Technical Information"" section on the website. Look for the subcategory titled ""Licensing and attribution,"" which outlines the licensing details for the content. This section will provide guidance on how to use the data within the specified limits.",12.162729
Where can I locate details about data related to licensing and attribution among the different themes and categories?,"To locate details about data related to licensing and attribution, navigate to the ""Technical Information"" section on the website. Look for the subcategory titled ""Licensing and attribution,"" which provides information on how to use the data. This section is not directly linked to specific themes but is important for understanding data usage rights.",14.67235
Where can I find the technical information on this website?,"To find the technical information on the website, navigate to the Homepage and select the ""Technical Information"" section from the Main Menu options. This section provides details on data cleaning, statistical methods, and other relevant topics.",11.238613
How do I navigate the different themes and subcategories available here?,"To navigate the different themes and subcategories, open the Atlas map and go to the right-hand side pane. Click on the themes icon, where you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",13.84514
What sections can I explore to learn about statistical areas on this website?,"To learn about statistical areas on the website, navigate to the ""Technical Information"" section. Look for subcategories that discuss SA2, SA3, and SA4 areas, which provide insights into their definitions and characteristics. You can also explore the Atlas map to see how these areas are represented visually.",13.167618
How do I find different themes and categories related to statistical areas here?,"To find different themes and categories related to statistical areas, open the Atlas map and navigate to the right-hand side pane. Click on the map icon to filter data by SA2, SA3, or SA4 areas. You can then explore the relevant themes and subcategories associated with those statistical areas.",14.344768
How can I locate metadata on this website?,"To locate metadata on this website, navigate to the ""Technical Information"" section. Look for the subcategory titled ""Metadata,"" which provides details about the data's discovery, identification, and organisation. This section will help you understand the context and use of the data available.",12.181687
Where can I find information about different themes and subcategories here?,"To find information about different themes and subcategories, open the Atlas map and navigate to the right-hand side pane. Click on the themes icon, where you can type your theme of interest in the search box. If data is available, you can select from the relevant subcategories that appear in the drop-down options.",13.968362
